id;tipo_cuenta_ca_pesos;tipo_cuenta_ca_dolar;tipo_cuenta_cc_pesos;sexocodi;estcivil;edad;plataforma_emp_um;usa_plataforma_u3m;ingr_prom_u6m;capita;grupo_cliente;subgrupo;relacion;fum;segmento_sueldos;segmento_bancas;es_capita;tiene_i_cbesa;tiene_i_cs;tiene_i_pr_hip;tiene_i_pr_pers;tiene_i_prep;tiene_i_se_patr;tiene_i_visa;tiene_i_tj_soc;tiene_e_ac_cc;tiene_e_fact;saldo_computo_sist_fci;tiene_e_liq_com;tiene_i_seg_vida;tiene_e_tc_agro;tiene_e_tc_corpo;tiene_e_tc_flota;saldo_computo_sist_2;saldo_computo_sist_ca_p;saldo_computo_cj;cross_empr;cross_ind;saldo_computo_sist_cc_p;saldo_computo_sist_cc_mb;transferencia_recibida;extraccion;cobro;transferencia_enviada;operatoria;pago;acreditacion;deposito;rescate;suscripcion;levantamiento;credito_acreditacion_haberes;credito_pago_bonificacion_por_promocion;credito_pago_programa_social;debito_transferencia_enviada_homebanking;credito_transferencia_recibida_simple;credito_transferencia_recibida_homebanking;debito_transferencia_enviada_atm_no_propio;credito_pago_cheque_pago_diferido;debito_operatoria_int._sldo_deudor;credito_transferencia_recibida_modo;debito_cobro_deuda_bancor;credito_rescate_titulos_fci;debito_cobro_locacion_caja_de_seguridad;credito_transferencia_recibida_ach;debito_extraccion_back_office_por_cierre_de_cuenta;debito_cobro_plazo_fijo;credito_pago_prestamo;debito_cobro_transporte;credito_pago_plazo_fijo;debito_transferencia_enviada_otras;credito_transferencia_recibida_atm;credito_deposito_atm_propio;debito_operatoria_resumen;credito_transferencia_recibida_debin;credito_pago_honorarios;credito_pago_fondo_compensador;credito_deposito_atm_no_propio;credito_operatoria_impuesto;debito_transferencia_enviada_ach;debito_transferencia_enviada_debin;debito_cobro_compras_en_el_exterior;credito_transferencia_recibida_credin;debito_pago_atm_no_propio;debito_transferencia_enviada_modo;credito_pago_titulos_fci;debito_transferencia_enviada_cuenta_vinculada;credito_operatoria_intereses;credito_deposito_intersucursal;credito_pago_liquidacion_caja_jubilaciones;credito_levantamiento__embargo;debito_operatoria_impuesto;debito_cobro_otros_servicios;credito_operatoria_ajuste;debito_operatoria_intereses;debito_operatoria_adelanto_de_haberes;credito_pago_seguro_desempleo;debito_cobro_tarjeta_credito;credito_transferencia_recibida_proveedor;credito_pago_liquidacion_comercio;credito_operatoria_cancelacion_adel_hab;debito_cobro_agencia_loteria;debito_cobro_compras;debito_cobro_prestamo;debito_extraccion_atm_propio;credito_deposito_cheque;debito_extraccion_efectivo;debito_transferencia_enviada_simple;debito_operatoria_custodia;debito_cobro_seguros;debito_transferencia_enviada_ipj;debito_extraccion_atm_no_propio;debito_operatoria_ajuste;debito_operatoria_mantenimiento;debito_suscripcion_titulos_fci;debito_operatoria_comision;credito_deposito_en_efectivo;credito_acreditacion_plan_social;debito_cobro_titulos_fci;debito_cobro_liquidacion_a_comercio;debito_cobro_cheque;credito_transferencia_recibida_mep;debito_operatoria_gastos;debito_cobro_embargo;
1350;;;;M;Divorciado/a;63;0;NO;5000;NO;I8;Publico General;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1351;Caja Ahorro Jubilado Provincia;C.A. Dolar;;M;Soltero/a;63;0;SI;275702;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1000000,00;311873.35;0,00;1,00;6,00;0,00;0,00;1,00;2,00;13,00;4,00;4,00;1,00;1,00;;;;;294790.19;2241.25;;1151029.66;;;;;;;;;;;;;;;;;;;;;;;;;19222.92;;;;;;;;144.49;;;;2520,00;3364.57;;;;;89504.87;53000,00;;;;97551.62;;80000,00;;;;;;;;;12000,00;;;;;;;;;;;
1352;Caja Ahorro Comun;;;M;Soltero/a;57;0;SI;5000;NO;I8;Publico General;TIT;20241129;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2689.88;0,00;0,00;1,00;0,00;0,00;30,00;15,00;41,00;;1,00;;;;;;;;;;;;272986.73;;;;;;;;;;;;940,00;;;;;;;;;;;;;;34226,00;;;;;0.15;;;;;;;;;;;;;;;160360,00;;141000,00;;;;;;;;;;;;;;;;;;;;
1353;Caja Ahorro Comun;;;M;Soltero/a;57;0;SI;117896;NO;I5;Monotributista;TIT;20241129;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;932505.29;0,00;0,00;1,00;0,00;0,00;27,00;;24,00;14,00;1,00;;;1,00;;;;;;;794010,00;;1812100,00;;;;;;;;;;;;;;;;19000,00;;35000,00;;;;;50344.3;210000,00;;1385785,00;;;;;43.1;;;;;38295.59;;;;;;;;;;530006.83;;;;;;;;;;;;;;;;;;;;;;
1354;;;;M;Soltero/a;57;0;NO;5000;NO;I6;Con producto  Social;TIT;20210518;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.31;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1355;Caja Ahorro Comun;;;M;Soltero/a;58;0;NO;117896;NO;I5;Monotributista;TIT;20171012;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100.85;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1356;;;;M;Soltero/a;57;0;SI;448520;NO;I5;Monotributista;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1357;Caja Ahorro Comun;;;M;Divorciado/a;57;0;SI;5000;NO;I8;Publico General;TIT;20241119;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;203056.32;0,00;0,00;1,00;0,00;0,00;;;1,00;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.87;;;;;;;;;;;;;;;13428.62;;;;;;;;;;;;;;;;;;;;;;
1358;Caja Ahorro Comun;;;M;Soltero/a;57;0;NO;6600;NO;I6;Con producto  Social;TIT;20210210;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;82.39;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1359;Caja Ahorro Comun;;;M;Casado/a;57;0;SI;175252;NO;I5;Monotributista;TIT;20241112;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16482.89;0,00;0,00;2,00;0,00;0,00;3,00;;6,00;5,00;3,00;;;1,00;;;;;;;;;247000,00;;;;;;;;;;;;;;;;27000,00;;;;;;;;;;;;27500,00;;;2.65;;;;37.8;;;;;;149426.03;;;;;104845,00;;;;;;;;;;;;;180,00;;;;;;;;;
1360;Caja Ahorro Comun;;;M;Soltero/a;57;0;NO;5000;NO;I8;Publico General;TIT;20220624;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;751.4;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1361;;;;M;Soltero/a;57;0;SI;117896;NO;I5;Monotributista;TIT;20241129;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1362;;;;M;Soltero/a;58;0;NO;5000;NO;I8;Publico General;TIT;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1363;;;;M;Soltero/a;57;0;NO;5000;NO;I6;Con producto  Social;TIT;20241123;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1364;Acreditacion Admin Publica / Otra;;;M;Soltero/a;57;0;NO;127568;NO;I8;Publico General;TIT;20241130;SUELDO ADM PUBL RESTO;OTROS;0;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;166.06;0,00;1,00;3,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1365;;;;M;Divorciado/a;57;0;SI;5000;NO;I8;Publico General;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1366;Caja Ahorro Comun;;;M;Soltero/a;57;0;SI;2343412;EXTERNA;I4;Sueldo;TIT;20241128;OTROS;OTROS;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;745922.91;0,00;1,00;2,00;0,00;0,00;;7,00;27,00;8,00;12,00;1,00;2,00;;;;;3057370.09;8000,00;;732910.28;;;;;;;;;;;;;;;;;;;;;;;;;;500000,00;1974.08;;;;;;29.95;;;;1838.35;;;;;;;;;;;699800.17;;119000,00;;;;;;;59000,00;;;;3180,00;;;;;;;;;
1367;Caja Ahorro Comun;;;M;Soltero/a;57;0;NO;10000;NO;I8;Publico General;TIT;20241023;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10575.4;0,00;0,00;1,00;0,00;0,00;;;;;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;311.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1368;SUAF Anses;;;M;Soltero/a;57;0;NO;5000;NO;I6;Con producto  Social;TIT;20221226;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;97.34;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1369;;;;M;Soltero/a;57;0;NO;5000;NO;I6;Con producto  Social;TIT;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1370;Caja Ahorro Jubilado Provincia;;;M;Soltero/a;57;0;SI;752946;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7333333.34;821742.72;0,00;1,00;4,00;0,00;0,00;3,00;19,00;35,00;6,00;2,00;4,00;2,00;;;;;1706936.23;;;640986.66;;656022,00;;;;;;;;;;7600000,00;;;7412684.93;;;;;;;;;;;;;9100,00;;;;;69.4;;;;;;25661,00;;;;;;;;;706517.17;;690000,00;;;;;;;;;;;;;;;;;;;;
1371;Caja Ahorro Comun;;;M;Soltero/a;57;0;NO;5000;NO;I8;Publico General;TIT;20210222;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2908.18;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1372;Caja Ahorro Comun;;;M;Casado/a;57;0;SI;5000;NO;I8;Publico General;TIT;20241129;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;120013.43;0,00;0,00;1,00;0,00;0,00;9,00;5,00;59,00;17,00;1,00;1,00;;2,00;;;;;1120,00;;535385,00;;1299500,00;;;;;;;;;;;;5220,00;;;;146000,00;;;;;;;;4000,00;;;;42019.67;;;7.05;;;;;;;;;;;;;;;719978.99;;140000,00;;;;;;;;;;;;;;;;;;;;
1373;;;;M;Soltero/a;57;0;NO;5000;NO;I8;Publico General;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1374;;;;M;Soltero/a;57;0;NO;5000;NO;I6;Con producto  Social;TIT;20200910;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.04;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1375;;;;M;Soltero/a;57;0;NO;5000;NO;I8;Publico General;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1376;Caja Ahorro Jubilado Provincia;;;M;Soltero/a;57;0;NO;1072617;PROPIA;I4;Sueldo;TIT;20241129;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;345588.12;0,00;0,00;2,00;0,00;0,00;;16,00;1,00;;1,00;;1,00;;;;;1201827.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.25;;;;;83800,00;;;;;;;;;;;;930000,00;;;;;;;100000,00;;;;;;;;;;;;;
1377;;;;M;Casado/a;56;0;SI;15000;NO;I8;Publico General;TIT;20241130;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1043340.21;0,00;0,00;1,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378;Caja Ahorro Comun;;;M;Viudo/a;56;0;SI;117896;NO;I5;Monotributista;TIT;20241129;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;166673.16;0,00;0,00;1,00;0,00;0,00;5,00;;22,00;11,00;2,00;1,00;1,00;;;;;;1000,00;;23000,00;;455420,00;;;;;;;;;;;;;;;;;3105,00;;;;;;86553,00;357150,00;;105000,00;;;;;30.94;;;;;;;;;;;;;;;760428.86;;;;;;;;;;;;;;;211830,00;;;;;;;
1379;Acreditacion Admin Publica / Otra;;;M;Soltero/a;56;0;SI;365626;NO;I5;Monotributista;TIT;20241130;SUELDO ADM PUBL RESTO;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4169716.56;0,00;0,00;2,00;0,00;0,00;;;2,00;;13,00;;;4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75.37;;;;63150,00;;;;;;90758.56;;;;;;;;5000000,00;;;;;;;;;;15000,00;;;;;;;;;
1380;;;;M;Soltero/a;56;0;NO;117896;NO;I5;Monotributista;TIT;20241130;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4940000,00;0,00;0,00;1,00;2,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1381;Cuenta Sueldo;;;M;Soltero/a;56;0;SI;848696;PROPIA;I4;Sueldo;TIT;20241129;SUELDO PRIVADOS;SUELDO PRIVADOS;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;340940.82;0,00;0,00;3,00;0,00;0,00;;12,00;13,00;;1,00;;2,00;;;;;876016.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.35;;;;;;;;;;137976.09;;;;;370706.6;;;;;;;;;400000,00;;;;;;;;;;;;;
1382;;;;M;Soltero/a;56;0;NO;304717;NO;I5;Monotributista;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1383;;;;M;Soltero/a;56;0;NO;5000;NO;I8;Publico General;ADI;20241113;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1384;;;;M;Soltero/a;56;0;NO;5000;NO;I8;Publico General;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1385;Caja Ahorro Comun;;;M;Soltero/a;56;0;SI;5000;NO;I8;Publico General;TIT;20241125;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;93131.02;0,00;0,00;1,00;0,00;0,00;3,00;2,00;10,00;4,00;3,00;;;;;;;;;;44140,00;;112500,00;;;;;;;;;;;;;;;;;;;;;;;;169800,00;;41000,00;;;;;2.95;;;;210,00;;;;;;;;;;;151378.7;;33000,00;;;;;;;10000,00;;;;1000,00;;;;;;;;;
1386;;;;M;Casado/a;56;0;SI;5855;NO;I8;Publico General;TIT;20241129;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1387;Acreditacion Admin Publica / Otra;;;M;Soltero/a;56;0;SI;54674;PROPIA;I4;Sueldo;TIT;20241126;SUELDO ADM PUBL M4;SUELDO ADM PUBL M4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24440.63;0,00;0,00;3,00;0,00;0,00;;;2,00;;2,00;;1,00;;;;;63492,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.09;;;;;;;;;;;;;;;53930,00;;;;;;;;;;;;;;;;;;;;;;
1388;;;;M;Soltero/a;56;0;NO;5000;NO;I6;Con producto  Social;TIT;20241121;SUELDO ADM PUBL RESTO;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.64;0,00;0,00;2,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1389;Cuenta de la Seguridad Social;;;M;Soltero/a;56;0;SI;339864;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS ANSES;JUBILADOS ANSES;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;89607.21;0,00;1,00;4,00;0,00;0,00;;;4,00;;3,00;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.42;;;;2520,00;;;;;;207342.75;;;;;;15811.41;;;;;;;;;;12000,00;;;;348356.27;;;;;;;
1390;Caja Ahorro Comun;;;M;Casado/a;55;0;SI;1830288;PROPIA;I3;Comercio con acreditacion en Caja de Ahorro;TIT;20241130;SUELDO BANCOR;OTROS;1;1,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;68957,00;1,00;0,00;0,00;0,00;0,00;0,00;7104502.13;0,00;2,00;7,00;0,00;0,00;119,00;3,00;32,00;50,00;33,00;29,00;1,00;9,00;;;;3001164.53;;;1282642.95;;804200,00;;;;;;;;600000,00;;;;;;;;;;11200,00;;;;;84020,00;1602100,00;;889051.33;;;;;344.95;2418081.51;;;9820.76;;;;;;1329716.04;;815247.05;;;583910.77;90003.91;;;506358.6;;;;;;;;;180,00;;;;;;;;;
1391;Caja Ahorro Comun;;;M;Soltero/a;55;0;SI;5000;NO;I8;Publico General;TIT;20241125;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5089.41;0,00;0,00;2,00;0,00;0,00;5,00;4,00;2,00;2,00;1,00;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;11000,00;;;;;;;;6000,00;;141300,00;;;;;0.3;;;;;;;;;;;;;;;79714.67;;60000,00;;;;;;;;;;;;;;;;;;;;
1392;Caja Ahorro Comun;;;M;Soltero/a;47;0;NO;245352;NO;I5;Monotributista;TIT;20241025;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;141.71;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1393;;;;M;Soltero/a;47;0;SI;5000;NO;I8;Publico General;TIT;20241007;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2150774,00;0,00;0,00;0,00;0,00;0,00;0,00;37.7;0,00;1,00;3,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1394;SUAF Anses;;;M;Soltero/a;47;0;NO;140100;ESPECIAL;I5;Monotributista;TIT;20241121;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46700.13;0,00;0,00;1,00;0,00;0,00;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140100,00;;;;;;;
1395;Caja Ahorro Comun;;;M;Soltero/a;47;0;SI;448520;NO;I5;Monotributista;TIT;20241130;OTROS;OTROS;0;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;331218.29;0,00;1,00;4,00;0,00;0,00;1,00;;3,00;1,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134003,00;;;;;;;;49.39;;;;2520,00;;;;;;137780.54;500000,00;;;;;377487.68;;;;;;;;;;12000,00;;;;;;;;;;;
1396;;;;M;Soltero/a;46;0;SI;5000;NO;I8;Publico General;TIT;20241119;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
